Symbol:,Names,Prices,Change,% Change,Market Cap,Avg Volume (3 Months),Volume
BPY-UN.TO,Brookfield Property Partners L.P.,13.08,+0.56,+4.47%,12.319B,1.833M,1.97M
WELL.TO,WELL Health Technologies Corp.,3.0100,+0.3600,+13.58%,365.977M,447.120,1.912M
VET.TO,Vermilion Energy Inc.,6.66,+0.20,+3.10%,1.046B,3.671M,1.958M
RYU.V,RYU Apparel Inc.,0.0100,0.0000,0.00%,6.297M,861.571,1.903M
SZLS.TO,StageZero Life Sciences Ltd.,0.1300,+0.0050,+4.00%,35.925M,3.071M,2.009M
NWI.CN,Nuinsco Resources Limited,0.0050,0.0000,0.00%,1.516M,296.517,1.899M
SMF.TO,SEMAFO Inc.,3.9100,0.0000,0.00%,1.308B,2.212M,1.951M
IPL.TO,Inter Pipeline Ltd.,11.02,+0.43,+4.06%,4.636B,3.963M,1.919M
TV.TO,Trevali Mining Corporation,0.0800,0.0000,0.00%,64.205M,1.389M,1.763M
CODE.CN,Codebase Ventures Inc.,0.0200,+0.0050,+33.33%,6.295M,830.007,1.74M
GIL.TO,Gildan Activewear Inc.,19.22,+0.56,+3.00%,3.809B,1.088M,1.736M
INDS.CN,"Indus Holdings, Inc.",0.6000,+0.1800,+42.86%,19.828M,114.926,1.695M
BAR.TO,Balmoral Resources Ltd,0.6900,-0.0100,-1.43%,123.215M,786.900,1.68M
SKE.V,Skeena Resources Limited,1.1200,-0.0100,-0.88%,184.354M,354.866,1.666M
SLNG.CN,SLANG Worldwide Inc.,0.1400,-0.0050,-3.45%,39.43M,765.884,1.644M
PKK.CN,Peak Positioning Technologies Inc.,0.0350,-0.0050,-12.50%,24.974M,1.108M,1.672M
RVV.CN,Revive Therapeutics Ltd.,0.1500,+0.0050,+3.45%,10.862M,1.29M,1.622M
FM.TO,First Quantum Minerals Ltd.,8.89,+0.34,+3.98%,6.129B,3.84M,1.699M
PPL.TO,Pembina Pipeline Corporation,31.83,+0.59,+1.89%,17.5B,3.855M,4.528M
ARX.TO,ARC Resources Ltd.,5.53,-0.23,-3.99%,1.954B,3.376M,1.745M
PHO.TO,Photon Control Inc.,1.7400,+0.2600,+17.57%,181.854M,192.171,1.585M
ATH.TO,Athabasca Oil Corporation,0.1350,0.0000,0.00%,70.666M,1.987M,1.561M
SPOR.CN,,0.3700,+0.0850,+29.82%,N/A,N/A,1.551M
FAT.CN,Far Resources Ltd.,0.0300,+0.0050,+20.00%,3.946M,313.839,1.57M
